MBps,bytes,category,channels,checksum,expected_speed,height,image,image_kind,image_size,mode,ms,repeat,research_value,run_id,stage,width
56.2738,1179648,keystream,3,551434269804455751,medium-high,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,19.9915,1,chaos-native SIMD,stages__real_kodim10__rep1,cml,512
269.511,1179648,keystream,3,6408282267245646781,very high,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,4.17423,1,fastest,stages__real_kodim10__rep1,cellular_automata,512
10.9412,1179648,keystream,3,10367332591215019916,medium,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,102.823,1,physics novelty,stages__real_kodim10__rep1,hamiltonian,512
46.6745,1179648,keystream,3,7386139916934624047,low-medium,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,24.1031,1,physics novelty,stages__real_kodim10__rep1,reaction_diffusion,512
4.01688,1179648,permutation,3,4183404831669196470,O(N log N),768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,280.068,1,poor,stages__real_kodim10__rep1,chaotic_sort,512
54.6517,1179648,permutation,3,10511810987702285180,O(N) sequential,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,20.5849,1,poor,stages__real_kodim10__rep1,random_walk,512
164.381,1179648,permutation,3,1759183986752597061,O(N),768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,6.84385,1,good,stages__real_kodim10__rep1,arnold_cat_map,512
61.9192,1179648,permutation,3,13579126239021865136,O(N),768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,18.1689,1,excellent,stages__real_kodim10__rep1,affine_modular,512
56.8818,1179648,permutation,3,3059575659206384804,O(rN),768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,19.7778,1,excellent,stages__real_kodim10__rep1,feistel_index,512
476.344,1179648,permutation,3,17274570153562632258,O(N),768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,2.36174,1,excellent,stages__real_kodim10__rep1,block_permutation,512
192.199,1179648,permutation,3,12379226155088526128,O(rN),768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,5.8533,1,excellent,stages__real_kodim10__rep1,checkerboard_swaps,512
227.776,1179648,diffusion,3,17610365141466155240,sequential,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,4.93906,1,poor,stages__real_kodim10__rep1,global_chain,512
282.773,1179648,diffusion,3,16474371957543551792,block-level,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,3.97846,1,good,stages__real_kodim10__rep1,block_local_chain,512
270.813,1179648,diffusion,3,16087709189453295476,reduced,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,4.15416,1,medium,stages__real_kodim10__rep1,parallel_prefix,512
175.951,1179648,diffusion,3,10675946397438653550,none per round,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,6.39382,1,high,stages__real_kodim10__rep1,stencil_diffusion,512
397.743,1179648,diffusion,3,13530568496877426314,none,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,2.82846,1,excellent,stages__real_kodim10__rep1,arx_block_diffusion,512
272.76,1179648,diffusion,3,1499588653368919748,none,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,stages,4.12451,1,excellent,stages__real_kodim10__rep1,bitplane_diffusion,512
