MBps,bytes,channels,cipher,correct,dataset,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
933.204,786432,3,chacha20,1,synthetic_control,0.510308,63.49617946379356,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,0,0.0,full,0,0.0,3,full__gradient_512x512__rep3,0.803683,openssl_evp,512
1018.37,786432,3,aes_256_gcm,1,synthetic_control,0.353234,47.96292600000271,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,0,0.0,full,0,0.0,3,full__gradient_512x512__rep3,0.736473,openssl_evp_aead,512
704.564,786432,3,chacha20_poly1305,1,synthetic_control,0.659922,61.994194402953525,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,0,0.0,full,0,0.0,3,full__gradient_512x512__rep3,1.06449,openssl_evp_aead,512
119.073,3145728,3,logistic_xor,1,synthetic_control,6.39964,25.400940681497943,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,13.8847,55.1100438587787,full,0.000794,0.0031514814741312584,1,full__noise_1024x1024__rep1,25.1945,scalar_avx2,1024
11.4951,3145728,3,logistic_permute_xor,1,synthetic_control,5.56917,2.133928776697243,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,12.557,4.811442934761784,full,237.638,91.05532182296096,1,full__noise_1024x1024__rep1,260.982,scalar_avx2,1024
98.543,3145728,3,arnold_xor,1,synthetic_control,2.10182,6.903979818418321,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,10.6782,35.0753524550316,full,15.979,52.48722227331852,1,full__noise_1024x1024__rep1,30.4436,scalar_avx2,1024
79.583,3145728,3,tiled_arnold_xor,1,synthetic_control,5.59318,14.837398697491809,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,10.7318,28.46895600387304,full,16.8676,44.74579868157521,1,full__noise_1024x1024__rep1,37.6965,scalar_avx2,1024
74.1873,3145728,3,tent_block_xor,1,synthetic_control,5.73895,14.191902705857332,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,29.8651,73.853682903789,full,0.001401,0.0034645458996691247,1,full__noise_1024x1024__rep1,40.4382,scalar_avx2,1024
23.1836,3145728,3,sine_xor,1,synthetic_control,2.39481,1.8506746418138826,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,125.677,97.1213737036522,full,0.001296,0.0010015301154541662,1,full__noise_1024x1024__rep1,129.402,scalar_avx2,1024
68.578,3145728,3,coupled_lattice_xor,1,synthetic_control,2.3369,5.341998546146144,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,40.0771,91.61359490511089,full,0.000717,0.0016390144882480146,1,full__noise_1024x1024__rep1,43.7458,scalar_avx2,1024
11.0393,3145728,3,hamiltonian_lattice_xor,1,synthetic_control,2.38683,0.8782956832758677,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,267.862,98.56673425155562,full,0.001321,0.00048609603432478275,1,full__noise_1024x1024__rep1,271.757,scalar_avx2,1024
273.226,3145728,3,chaotic_seed_blake3_xor,1,synthetic_control,2.4167,22.010218672301207,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,7.20528,65.62245557791965,full,0.00087,0.007923569431415586,1,full__noise_1024x1024__rep1,10.9799,scalar_avx2,1024
508.674,3145728,3,aes_ctr,1,synthetic_control,4.08801,69.31544384326745,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,0,0.0,full,0,0.0,1,full__noise_1024x1024__rep1,5.89769,openssl_evp,1024
755.416,3145728,3,chacha20,1,synthetic_control,1.92857,48.56244271426125,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,0,0.0,full,0,0.0,1,full__noise_1024x1024__rep1,3.97132,openssl_evp,1024
936.937,3145728,3,aes_256_gcm,1,synthetic_control,1.49455,46.67668149110534,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,0,0.0,full,0,0.0,1,full__noise_1024x1024__rep1,3.20192,openssl_evp_aead,1024
662.663,3145728,3,chacha20_poly1305,1,synthetic_control,2.80057,61.86111031346155,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,0,0.0,full,0,0.0,1,full__noise_1024x1024__rep1,4.52719,openssl_evp_aead,1024
137.978,3145728,3,logistic_xor,1,synthetic_control,5.02325,23.103262719270006,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,12.2717,56.44081204639739,full,0.000837,0.0038495856061372606,2,full__noise_1024x1024__rep2,21.7426,scalar_avx2,1024
