chi_square,cipher,corr_d,corr_h,corr_v,cpa_score,entropy,image,image_kind,image_size,key_sensitivity,kpa_score,mode,npcr,repeat,run_id,uaci
223.568,aes_ctr,-0.00162011,0.000539371,0.000803192,1,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6154,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
238.041,chacha20,0.00102835,-8.78987e-05,0.00217584,1,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6113,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
245.626,logistic_xor,0.000224014,-0.00162256,-0.00125169,1,7.99977,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.3804,1,full,0.000127157,1,full__noise_512x512__rep1,4.98653e-07
263.467,logistic_permute_xor,0.00162065,-0.00480554,-0.00107664,0.00382106,7.99976,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.6142,0.999997,full,0.000127157,1,full__noise_512x512__rep1,4.98653e-07
270.035,arnold_xor,-0.00086732,0.00111202,0.00206566,0.00391515,7.99975,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.3804,1,full,0.000127157,1,full__noise_512x512__rep1,4.98653e-07
251.27,tiled_arnold_xor,0.00169518,-0.000666348,-0.000729099,0.00484212,7.99977,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.3804,1,full,0.000127157,1,full__noise_512x512__rep1,4.98653e-07
256.332,tent_block_xor,-0.000406533,0.00143584,-0.0025306,1,7.99976,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.625,1,full,0.000127157,1,full__noise_512x512__rep1,4.98653e-07
295.952,sine_xor,-0.000130591,-0.00121839,-0.000676577,1,7.99973,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.2976,1,full,0.000127157,1,full__noise_512x512__rep1,4.98653e-07
247.867,coupled_lattice_xor,0.00117994,0.00174723,-0.00351979,1,7.99977,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.4114,1,full,0.000127157,1,full__noise_512x512__rep1,4.98653e-07
263.652,hamiltonian_lattice_xor,0.00218682,0.000365803,-0.000581885,1,7.99976,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.5286,1,full,0.000127157,1,full__noise_512x512__rep1,4.98653e-07
262.207,chaotic_seed_mix_xor,-0.00224226,0.000159419,-0.00171225,1,7.99976,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.6124,1,full,0.000127157,1,full__noise_512x512__rep1,4.98653e-07
226.412,aes_ctr,0.00371308,0.000180303,-0.00148114,1,7.99979,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.6067,1,full,0.000127157,1,full__noise_512x512__rep1,4.98653e-07
221.781,chacha20,-0.00171889,-0.000950746,0.00148056,1,7.9998,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.6176,1,full,0.000127157,1,full__noise_512x512__rep1,4.98653e-07
245.626,logistic_xor,0.000224014,-0.00162256,-0.00125169,1,7.99977,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.3804,1,full,0.000127157,2,full__noise_512x512__rep2,4.98653e-07
263.467,logistic_permute_xor,0.00162065,-0.00480554,-0.00107664,0.00382106,7.99976,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.6142,0.999997,full,0.000127157,2,full__noise_512x512__rep2,4.98653e-07
270.035,arnold_xor,-0.00086732,0.00111202,0.00206566,0.00391515,7.99975,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.3804,1,full,0.000127157,2,full__noise_512x512__rep2,4.98653e-07
251.27,tiled_arnold_xor,0.00169518,-0.000666348,-0.000729099,0.00484212,7.99977,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.3804,1,full,0.000127157,2,full__noise_512x512__rep2,4.98653e-07
256.332,tent_block_xor,-0.000406533,0.00143584,-0.0025306,1,7.99976,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.625,1,full,0.000127157,2,full__noise_512x512__rep2,4.98653e-07
295.952,sine_xor,-0.000130591,-0.00121839,-0.000676577,1,7.99973,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.2976,1,full,0.000127157,2,full__noise_512x512__rep2,4.98653e-07
247.867,coupled_lattice_xor,0.00117994,0.00174723,-0.00351979,1,7.99977,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.4114,1,full,0.000127157,2,full__noise_512x512__rep2,4.98653e-07
263.652,hamiltonian_lattice_xor,0.00218682,0.000365803,-0.000581885,1,7.99976,images/datasets/synthetic/noise_512x512.ppm,noise,512x512,99.5286,1,full,0.000127157,2,full__noise_512x512__rep2,4.98653e-07
