MBps,bytes,channels,checksum,diffusion,diffusion_ms,height,image,image_kind,image_size,keygen_ms,keystream,mode,permutation,permutation_ms,repeat,run_id,scheme,total_ms,width
9.89219,3145728,3,15938992241700151227,stencil,13.1008,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,265.67,hamiltonian,candidates,block_feistel,24.4935,3,candidates__noise_1024x1024__rep3,Hamiltonian-Block-Stencil,303.269,1024
30.8944,3145728,3,5015192422145357007,bitplane,6.60626,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,46.0457,cml,candidates,affine_bitplane,44.4493,3,candidates__noise_1024x1024__rep3,Affine-CML-Bitplane,97.105,1024
233.562,3145728,3,12703809576107580757,arx_block,3.29308,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,6.75858,cellular_automata,candidates,checkerboard_swaps,2.78987,3,candidates__noise_1024x1024__rep3,Checkerboard-CA-ARX,12.8446,1024
47.1677,3145728,3,6769910357436157580,prefix_tree_reverse,15.4143,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,6.30927,cellular_automata,candidates,affine_bitplane,41.8755,3,candidates__noise_1024x1024__rep3,Affine-CA-PrefixTree,63.6029,1024
191.328,3145728,3,11798513561408184321,multilane_tree,5.91791,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,6.79793,cellular_automata,candidates,checkerboard_swaps,2.96056,3,candidates__noise_1024x1024__rep3,Checkerboard-CA-MultilaneTree,15.6799,1024
66.0892,12582912,3,3961641192647960007,arx_block,14.4315,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,28.398,cellular_automata,candidates,feistel_index,138.736,1,candidates__noise_2048x2048__rep1,CA-Feistel-ARX,181.573,2048
31.6186,12582912,3,11734957335222455872,stencil,50.4229,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,189.592,cml,candidates,feistel_index,139.502,1,candidates__noise_2048x2048__rep1,CML-Feistel-Stencil,379.524,2048
9.55093,12582912,3,6448214577727937639,stencil,52.3209,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,1047.28,hamiltonian,candidates,block_feistel,156.813,1,candidates__noise_2048x2048__rep1,Hamiltonian-Block-Stencil,1256.42,2048
29.602,12582912,3,18367206447980725851,bitplane,28.6188,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,185.385,cml,candidates,affine_bitplane,191.367,1,candidates__noise_2048x2048__rep1,Affine-CML-Bitplane,405.378,2048
201.102,12582912,3,4857582123793231664,arx_block,16.4894,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,28.266,cellular_automata,candidates,checkerboard_swaps,14.9083,1,candidates__noise_2048x2048__rep1,Checkerboard-CA-ARX,59.6711,2048
43.4591,12582912,3,16932889893407130843,prefix_tree_reverse,67.4984,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,27.949,cellular_automata,candidates,affine_bitplane,180.667,1,candidates__noise_2048x2048__rep1,Affine-CA-PrefixTree,276.122,2048
170.312,12582912,3,5835626791526880045,multilane_tree,30.4896,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,25.5995,cellular_automata,candidates,checkerboard_swaps,14.3613,1,candidates__noise_2048x2048__rep1,Checkerboard-CA-MultilaneTree,70.4587,2048
69.6003,12582912,3,3961641192647960007,arx_block,14.3336,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,29.2563,cellular_automata,candidates,feistel_index,128.818,2,candidates__noise_2048x2048__rep2,CA-Feistel-ARX,172.413,2048
31.9543,12582912,3,11734957335222455872,stencil,48.592,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,190.485,cml,candidates,feistel_index,136.452,2,candidates__noise_2048x2048__rep2,CML-Feistel-Stencil,375.536,2048
9.74373,12582912,3,6448214577727937639,stencil,47.8229,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,1049.86,hamiltonian,candidates,block_feistel,133.869,2,candidates__noise_2048x2048__rep2,Hamiltonian-Block-Stencil,1231.56,2048
29.5238,12582912,3,18367206447980725851,bitplane,27.3314,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,182.722,cml,candidates,affine_bitplane,196.392,2,candidates__noise_2048x2048__rep2,Affine-CML-Bitplane,406.451,2048
214.649,12582912,3,4857582123793231664,arx_block,16.1764,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,26.8594,cellular_automata,candidates,checkerboard_swaps,12.8346,2,candidates__noise_2048x2048__rep2,Checkerboard-CA-ARX,55.9053,2048
42.1556,12582912,3,16932889893407130843,prefix_tree_reverse,67.397,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,28.4686,cellular_automata,candidates,affine_bitplane,188.789,2,candidates__noise_2048x2048__rep2,Affine-CA-PrefixTree,284.66,2048
161.603,12582912,3,5835626791526880045,multilane_tree,31.2,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,28.7713,cellular_automata,candidates,checkerboard_swaps,14.2777,2,candidates__noise_2048x2048__rep2,Checkerboard-CA-MultilaneTree,74.256,2048
68.293,12582912,3,3961641192647960007,arx_block,13.9372,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,28.8469,cellular_automata,candidates,feistel_index,132.923,3,candidates__noise_2048x2048__rep3,CA-Feistel-ARX,175.713,2048
30.2201,12582912,3,11734957335222455872,stencil,52.1844,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,182.622,cml,candidates,feistel_index,162.275,3,candidates__noise_2048x2048__rep3,CML-Feistel-Stencil,397.087,2048
9.77683,12582912,3,6448214577727937639,stencil,48.6694,2048,images/datasets/synthetic/noise_2048x2048.ppm,noise,2048x2048,1035.01,hamiltonian,candidates,block_feistel,143.705,3,candidates__noise_2048x2048__rep3,Hamiltonian-Block-Stencil,1227.39,2048
